id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +icao","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
31095,FCMZ,small_airport,"N'Zabi Airport",-3.1670000553131104,12.866999626159668,1640,AF,"Republic of the Congo",CG,"Niari Department",CG-9,9,N'Zabi,0,FCMZ,,,,,,,50,2008-08-03T11:30:01+00:00
31100,FCPK,small_airport,"N'komo Airport",-3.93999,11.30887,98,AF,"Republic of the Congo",CG,"Kouilou Department",CG-5,5,N'zambi,0,FCPK,,,,,,,50,2021-01-27T10:37:51+00:00
31083,FCMB,small_airport,"N'Ziba Airport",-2.7170000076293945,12.532999992370605,2149,AF,"Republic of the Congo",CG,"Niari Department",CG-9,9,N'Ziba,0,FCMB,,,,,,,50,2008-08-03T11:29:35+00:00
31101,FCPN,small_airport,"Noumbi Airport",-4.144149,11.383476,39,AF,"Republic of the Congo",CG,"Kouilou Department",CG-5,5,Noumbi,0,FCPN,,,,,,,50,2021-01-27T10:29:05+00:00
31093,FCMS,small_airport,"Nyanga Airport",-2.867000102996826,11.949999809265137,558,AF,"Republic of the Congo",CG,"Niari Department",CG-9,9,Nyanga,0,FCMS,,,,,,,50,2008-08-03T11:29:57+00:00
32110,CG-OKG,small_airport,"Okoyo Airport",-1.4483300447464,15.073300361633,1415,AF,"Republic of the Congo",CG,"Cuvette Department",CG-8,8,Okoyo,0,,,OKG,,,https://en.wikipedia.org/wiki/Okoyo_Airport,,50,2015-09-11T06:54:08+00:00
31102,FCPO,small_airport,"Pemo Airport",-2.867000102996826,12.532999992370605,1686,AF,"Republic of the Congo",CG,"Niari Department",CG-9,9,Pemo,0,FCPO,,,,,,,50,2008-08-03T11:30:25+00:00
32300,FCBS,small_airport,"Sibiti Airport",-3.683,13.35,1883,AF,"Republic of the Congo",CG,"Lékoumou Department",CG-2,2,Sibiti,0,FCBS,FCBS,SIB,,,https://en.wikipedia.org/wiki/Sibiti_Airport,,50,2024-05-16T19:23:40+00:00
31084,FCMD,small_airport,"Sidetra Airport",-2.867000102996826,12.866999626159668,2133,AF,"Republic of the Congo",CG,"Niari Department",CG-9,9,Sidetra,0,FCMD,,,,,,,50,2008-08-03T11:29:37+00:00
32344,FCOS,small_airport,"Souanke Airport",1.998326,14.174217,1722,AF,"Republic of the Congo",CG,"Sangha Department",CG-13,13,Souanke,0,FCOS,FCOS,SOE,,,https://en.wikipedia.org/wiki/Souank%C3%A9_Airport,,50,2024-04-15T18:43:43+00:00
333206,CG-0005,small_airport,"Thanry Airport",2.651304,17.173194,1193,AF,"Republic of the Congo",CG,"Likouala Department",CG-7,7,Thanry,0,,,,,,,,50,2020-02-08T16:20:01+00:00
595634,CG-0006,closed,"Obouya Airfield",-0.92292,15.71381,0,AF,"Republic of the Congo",CG,"Cuvette Department",CG-8,8,Obouya,0,,,,,,,,0,2025-03-22T21:32:22+00:00
